sc_point_gid,latitude,longitude,country,state,county,timezone,area_developable_sq_km,capacity_ac_mw,dist_spur_km,capacity_density
4228,48.364109779758,-120.378939954037,United States,Washington,Okanogan,-8,0.0997919975280761,0.276489997541849,22.9905714139949,2.770663022995001
4229,48.3889087076863,-120.219620054044,United States,Washington,Okanogan,-8,0.23414400844574,0.647679904694669,10.1194740162011,2.766160488128659
4231,48.4380319881129,-119.900560991272,United States,Washington,Okanogan,-8,1.20254397583008,3.24794567043352,6.12374675043084,2.7008955478668133
4232,48.4623558964434,-119.740823270798,United States,Washington,Okanogan,-8,6.63387330322266,17.7717109707439,19.4496882964492,2.6789343357086133
4233,48.4865210221774,-119.580947726481,United States,Washington,Okanogan,-8,25.8202450195313,67.2191636916486,9.51661038331598,2.6033511161804146
4234,48.5105271454038,-119.420935090477,United States,Washington,Okanogan,-8,27.1854826171875,70.8978212233763,7.12918830920368,2.607929468154908
4235,48.5343740471015,-119.260786099322,United States,Washington,Okanogan,-8,32.4116081542969,84.686305577103,19.729831149948,2.612838745117184
4236,48.5580615091506,-119.10050149392,United States,Washington,Okanogan,-8,9.64676678466797,25.3204950408817,36.1418116652874,2.6247649192810045
4237,48.5815893143438,-118.940082019536,United States,Washington,Okanogan,-8,12.4214666748047,32.6320440685441,22.4377792078591,2.627068519592286
4238,48.6049572463984,-118.779528425773,United States,Washington,Ferry,-8,11.8490937011719,31.8893885983179,10.5811688245431,2.691293478012075
4239,48.6281650899673,-118.618841466571,United States,Washington,Ferry,-8,11.0432346679687,29.9433219214459,6.1738181771802,2.7114629745483523
4240,48.6512126306503,-118.458021900186,United States,Washington,Ferry,-8,0.78663599395752,2.13026442968147,3.88279220613579,2.7080688476562496
4241,48.6740996550062,-118.29707048918,United States,Washington,Ferry,-8,0.961523986816406,2.60070613277263,9.92668181006535,2.704775094985967
4242,48.6968259505636,-118.135988000404,United States,Washington,Ferry,-8,10.4321434570313,28.1147278961681,8.58198051533947,2.6950097084045255
4243,48.7193913058326,-117.974775204988,United States,Washington,Stevens,-8,18.5631947753906,49.8559500320736,19.6003571337468,2.685741901397711
4244,48.7417955103164,-117.813432878326,United States,Washington,Stevens,-8,13.7260175537109,37.1674007482254,14.5460129727678,2.7078065872192476
4245,48.7640383545223,-117.651961800058,United States,Washington,Stevens,-8,11.2509909667969,30.9516067740136,0.943675323681471,2.7510116100311266
4246,48.7861196299732,-117.490362754058,United States,Washington,Pend Oreille,-8,6.35113762207031,18.1815181742845,0.09,2.8627183437347377
4247,48.8080391292193,-117.328636528418,United States,Washington,Pend Oreille,-8,2.4429869934082,7.40926908465961,9.55388960392956,3.032872915267949
